network,method,rep,sampler_seed,best_auc,certainty,effectiveness,final_selfish_ratio,peak_selfish_ratio,final_window_selfish_mean,summary_path,run_dir
Wiki-vote,CMAES,optseed2,5202,0.006194295988015194,0.7817014041375738,0.9538683974750926,1.827125790583275e-05,0.03029093464511595,7.96439447177325e-05,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed2/logs/summary_cmaes.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed2
Wiki-vote,CMAES,optseed3,6202,0.006210086075570364,0.948540937851738,0.9534057271092649,2.2487702037947995e-05,0.030264230498945888,9.1824783321621e-05,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed3/logs/summary_cmaes.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed3
Wiki-vote,GA,optseed1,4204,0.006211365570064738,0.7844052045869854,0.953602872833816,1.827125790583275e-05,0.030265635980323263,9.463574607636448e-05,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed1/logs/summary_ga.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed1
Wiki-vote,GA,optseed2,5204,0.006247024499372036,0.5089744495735212,0.9570019356306648,3.09205903021785e-05,0.030292340126493324,0.00010541110330288125,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed2/logs/summary_ga.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed2
Wiki-vote,GA,optseed3,6204,0.006208386201058248,0.5706817910554302,0.9504698599740267,1.9676739283204498e-05,0.030345748418833453,0.00011197001639728274,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed3/logs/summary_ga.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed3
Wiki-vote,GPR,optseed1,4201,0.006209564348035646,0.9999999999999999,0.9577019120116065,2.2487702037947998e-05,0.030316233309908642,9.041930194424924e-05,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed1/logs/summary_gpr.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed1
Wiki-vote,GPR,optseed2,5201,0.00614150446487006,0.9999999999999999,0.9949981117027551,2.1082220660576246e-05,0.030222066057624737,9.041930194424924e-05,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed2/logs/summary_gpr.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed2
Wiki-vote,GPR,optseed3,6201,0.006164455328326895,0.9999999999999999,0.957926613478163,2.6704146170063247e-05,0.030328882642304985,9.369875849144998e-05,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed3/logs/summary_gpr.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed3
Wiki-vote,RANDOM,optseed1,4203,0.006214270786942319,0.9348749770850073,0.9528349910031864,1.6865776528460998e-05,0.030258608573436402,9.416725228390723e-05,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed1/logs/summary_random.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed1
Wiki-vote,RANDOM,optseed2,5203,0.006167224255919759,0.9832700490470943,0.952636162499656,2.1082220660576246e-05,0.030257203092059027,9.7446708831108e-05,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed2/logs/summary_random.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed2
Wiki-vote,RANDOM,optseed3,6203,0.006162619804240631,0.9069793082263349,0.9343036197578457,1.9676739283204498e-05,0.03038791286015461,7.6832981962989e-05,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed3/logs/summary_random.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed3
