trial,state,auc,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,network,method,rep,run_dir,best_so_far
22,TrialState.COMPLETE,0.0213532906807674,auc,optseed1,4202,0.7652108799967012,0.9057259681819724,7.000000000000001e-05,0.0213532906807674,0.0972799999999999,0.0004199999999999,1360,100,13.6,9,30,12.6,8,29,False,6.3139742609346285,6.230365661904216,0.0188703179592266,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
23,TrialState.COMPLETE,0.0210514578834907,auc,optseed1,4202,0.8373976452131129,0.9390154229696432,3e-05,0.0210514578834907,0.09623,0.00036,1343,100,13.43,8,26,12.43,7,25,False,5.805393717018887,5.737853024969809,0.015153705026023,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
24,TrialState.COMPLETE,0.0215438655215613,auc,optseed1,4202,0.838023026821167,0.9022162015657104,4e-05,0.0215438655215613,0.09714,0.0003833333333333,1309,100,13.09,9,22,12.09,8,21,False,5.936068600974977,5.86231909703929,0.019556216080673,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
25,TrialState.COMPLETE,0.0217204873593468,auc,optseed1,4202,0.8473579619510432,0.853828740652705,3e-05,0.0217204873593468,0.09753,0.0004366666666666,1321,100,13.21,9,22,12.21,8,21,False,5.868698141071945,5.794745953055099,0.0178875980200245,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
26,TrialState.COMPLETE,0.0218574789755823,auc,optseed1,4202,0.8207919254514346,0.8026418698358682,5e-05,0.0218574789755823,0.09701,0.0004933333333333,1231,100,12.31,9,25,11.31,8,24,False,5.163510579033755,5.104225412942469,0.0119120480958372,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
27,TrialState.COMPLETE,0.0208916027430097,auc,optseed1,4202,0.9369269613860032,0.9720796377860286,3e-05,0.0208916027430097,0.09548,0.00043,1361,100,13.61,9,23,12.61,8,22,False,5.60427479702048,5.536636073025875,0.0141253339825198,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0208916027430097
28,TrialState.COMPLETE,0.0207344984415496,auc,optseed1,4202,0.827096955300785,0.999655228330958,1e-05,0.0207344984415496,0.0951099999999999,0.0002533333333333,1329,100,13.29,9,23,12.29,8,22,False,5.6182255380554125,5.555613482953049,0.0121270299423486,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
29,TrialState.COMPLETE,0.0215300214385922,auc,optseed1,4202,0.8382938758278742,0.8892996394803596,6e-05,0.0215300214385922,0.09725,0.0003599999999999,1309,100,13.09,9,23,12.09,8,22,False,5.899947572965175,5.838037724955939,0.0119228680850937,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
30,TrialState.COMPLETE,0.0211505299161193,auc,optseed1,4202,0.761558867130924,0.9604531233725756,5e-05,0.0211505299161193,0.0954499999999999,0.0004033333333333,1310,100,13.1,9,21,12.1,8,20,False,6.044564787996933,5.971465790993534,0.0120508299442008,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
31,TrialState.COMPLETE,0.0209684170528473,auc,optseed1,4202,0.8350381202071613,0.957968349255272,5e-05,0.0209684170528473,0.09536,0.00044,1333,100,13.33,9,22,12.33,8,21,False,5.97363711707294,5.897609565989114,0.0184646039269864,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
32,TrialState.COMPLETE,0.020907780625904,auc,optseed1,4202,0.8145317092363924,0.93222859380138,2e-05,0.020907780625904,0.0965299999999999,0.0003333333333333,1353,100,13.53,9,24,12.53,8,23,False,6.005872849957086,5.939081875956617,0.0120204890845343,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
33,TrialState.COMPLETE,0.0210815464138115,auc,optseed1,4202,0.8772522254229033,0.930406012553376,2e-05,0.0210815464138115,0.0966899999999999,0.0003733333333333,1351,100,13.51,9,22,12.51,8,21,False,5.966476484085433,5.896917887963355,0.0170192070072516,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
34,TrialState.COMPLETE,0.0212498128538987,auc,optseed1,4202,0.7496712596243149,0.985561351095594,5e-05,0.0212498128538987,0.09538,0.0004,1264,100,12.64,9,22,11.64,8,21,False,5.507651117048226,5.446344256983139,0.011942928074859,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
35,TrialState.COMPLETE,0.0208744461107236,auc,optseed1,4202,0.8652052165926513,0.9440811919755054,5e-05,0.0208744461107236,0.0959699999999999,0.0004366666666666,1367,100,13.67,8,26,12.67,7,25,False,5.767863461980596,5.690526576014236,0.0187197669874876,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
36,TrialState.COMPLETE,0.0208914949396429,auc,optseed1,4202,0.8141046664491347,0.9222006655516763,1e-05,0.0208914949396429,0.09751,0.0002866666666666,1386,100,13.86,9,26,12.86,8,25,False,5.736768211936578,5.668422810034826,0.0180065780878067,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
37,TrialState.COMPLETE,0.0215643281694225,auc,optseed1,4202,0.8232618126930773,0.8385606246007313,9e-05,0.0215643281694225,0.09724,0.0005966666666666,1318,100,13.18,9,24,12.18,8,23,False,5.67007224902045,5.5984129989519715,0.0123958740150555,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
38,TrialState.COMPLETE,0.0210905923796089,auc,optseed1,4202,0.8712386291397951,0.9200822048337264,4e-05,0.0210905923796089,0.0974599999999999,0.0003433333333333,1365,100,13.65,9,26,12.65,8,25,False,5.798663679044694,5.7320859980536625,0.0124532439513131,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
39,TrialState.COMPLETE,0.0211731276584612,auc,optseed1,4202,0.7945671271930936,0.8423904287262549,4e-05,0.0211731276584612,0.09734,0.00033,1322,100,13.22,9,26,12.22,8,25,False,5.883617514045909,5.821454012999311,0.0123190430458635,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
40,TrialState.COMPLETE,0.0214548619700732,auc,optseed1,4202,0.8021473188478104,0.9100770897549127,4e-05,0.0214548619700732,0.09739,0.0004433333333333,1330,100,13.3,9,22,12.3,8,21,False,6.176775629981421,6.110873395926319,0.0123191829770803,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
41,TrialState.COMPLETE,0.0212342937955577,auc,optseed1,4202,0.8181208561257532,0.9200392726471815,3e-05,0.0212342937955577,0.09754,0.0003366666666666,1348,100,13.48,9,24,12.48,8,23,False,5.800686253001913,5.739276671083644,0.012245901976712,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
42,TrialState.COMPLETE,0.0212230203110872,auc,optseed1,4202,0.8504121457067688,0.9190851562269746,2e-05,0.0212230203110872,0.09756,0.0003066666666666,1347,100,13.47,10,24,12.47,9,23,False,5.80750024097506,5.7368801339762285,0.0172394990222528,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
43,TrialState.COMPLETE,0.0213434552377876,auc,optseed1,4202,0.8705988107566565,0.8396712872889281,4e-05,0.0213434552377876,0.09725,0.00042,1315,100,13.15,9,21,12.15,8,20,False,5.920913915033452,5.85006870504003,0.0122050020145252,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
44,TrialState.COMPLETE,0.0209445468675631,auc,optseed1,4202,0.8923603337922186,0.9615912466730324,7.000000000000001e-05,0.0209445468675631,0.09559,0.0003833333333333,1325,100,13.25,9,22,12.25,8,21,False,5.839498473098502,5.784124200930819,0.0122343209804967,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
45,TrialState.COMPLETE,0.0215773363733359,auc,optseed1,4202,0.8004650974329641,0.8341279356904059,6e-05,0.0215773363733359,0.09699,0.0005733333333333,1309,100,13.09,9,21,12.09,8,20,False,6.053864335990511,5.990843545994721,0.0118015260668471,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
46,TrialState.COMPLETE,0.0214161093519259,auc,optseed1,4202,0.8584867882912215,0.914094569583762,4e-05,0.0214161093519259,0.09775,0.0004133333333333,1335,100,13.35,9,23,12.35,8,22,False,5.587244800059125,5.519465954042971,0.0119552389951422,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
