network,method,rep,sampler_seed,best_auc,certainty,effectiveness,info_label,info_name,mean_total_shared_ratio,mean_total_viewed_ratio,mean_total_fst_viewed_ratio,total_agents,run_dir
Facebook,GA,optseed2,5204,0.016144870786280335,0.5977572336929518,0.9785937410385916,0,misinformation,0.34813320128744735,9.115199306759099,2.1746769002228277,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed2
Facebook,GA,optseed2,5204,0.016144870786280335,0.5977572336929518,0.9785937410385916,1,corrective,0.33788561525129984,8.570562020302056,3.344347610794751,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed2
Facebook,GA,optseed2,5204,0.016144870786280335,0.5977572336929518,0.9785937410385916,2,observational,0.08806635305768755,2.2817925229017084,0.2587150284723942,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed2
Facebook,GA,optseed2,5204,0.016144870786280335,0.5977572336929518,0.9785937410385916,3,behavior-guiding,0.23020302054964098,8.019269621193365,2.138182718494677,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed2
Facebook,GA,optseed3,6204,0.015943729611114704,0.5876116589372055,0.9756942779752106,0,misinformation,0.347511760336717,9.103666749195344,2.173476107947512,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed3
Facebook,GA,optseed3,6204,0.015943729611114704,0.5876116589372055,0.9756942779752106,1,corrective,0.3402079722703639,8.659153255756376,3.366377816291161,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed3
Facebook,GA,optseed3,6204,0.015943729611114704,0.5876116589372055,0.9756942779752106,2,observational,0.08997771725674672,2.303357266650161,0.2622109433027977,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed3
Facebook,GA,optseed3,6204,0.015943729611114704,0.5876116589372055,0.9756942779752106,3,behavior-guiding,0.23118841297350828,8.04308739787076,2.1459569200297106,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed3
Wiki-vote,GPR,optseed1,4201,0.006209564348035646,0.9999999999999999,0.9577019120116065,0,misinformation,0.17465917076598736,2.3312986647926914,1.1475404075895994,7115,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed1
Wiki-vote,GPR,optseed1,4201,0.006209564348035646,0.9999999999999999,0.9577019120116065,1,corrective,0.23222487702037947,3.3638158819395643,1.70265776528461,7115,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed1
Wiki-vote,GPR,optseed1,4201,0.006209564348035646,0.9999999999999999,0.9577019120116065,2,observational,0.015302881236823612,0.1916373858046381,0.048184118060435696,7115,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed1
Wiki-vote,GPR,optseed1,4201,0.006209564348035646,0.9999999999999999,0.9577019120116065,3,behavior-guiding,0.06939423752635278,1.5018046380885453,1.2511061138439916,7115,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed1
Wiki-vote,GPR,optseed2,5201,0.00614150446487006,0.9999999999999999,0.9949981117027551,0,misinformation,0.17456500351370344,2.3360309205903023,1.1506071679550245,7115,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed2
Wiki-vote,GPR,optseed2,5201,0.00614150446487006,0.9999999999999999,0.9949981117027551,1,corrective,0.26271398453970485,3.7715544624033734,1.829024595924104,7115,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed2
Wiki-vote,GPR,optseed2,5201,0.00614150446487006,0.9999999999999999,0.9949981117027551,2,observational,0.017776528460997892,0.2221531974701335,0.056503162333099086,7115,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed2
Wiki-vote,GPR,optseed2,5201,0.00614150446487006,0.9999999999999999,0.9949981117027551,3,behavior-guiding,0.0673633169360506,1.4765678144764582,1.2366212227687983,7115,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed2
Wiki-vote,GPR,optseed3,6201,0.006164455328326895,0.9999999999999999,0.957926613478163,0,misinformation,0.17450316233309907,2.3310274068868586,1.14736893886156,7115,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed3
Wiki-vote,GPR,optseed3,6201,0.006164455328326895,0.9999999999999999,0.957926613478163,1,corrective,0.23498524244553762,3.405186226282502,1.7178144764581869,7115,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed3
Wiki-vote,GPR,optseed3,6201,0.006164455328326895,0.9999999999999999,0.957926613478163,2,observational,0.015382993675333802,0.1923921293042867,0.04827266338721012,7115,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed3
