t,selfish_ratio,network,method,rep,best_auc
15,0.0005142784130837539,Wiki-vote,GPR,optseed2,0.00614150446487006
16,0.00028912759763075996,Wiki-vote,GPR,optseed2,0.00614150446487006
17,0.0002540677874479702,Wiki-vote,GPR,optseed2,0.00614150446487006
18,0.00012649332396345747,Wiki-vote,GPR,optseed2,0.00614150446487006
19,5.019576347756249e-05,Wiki-vote,GPR,optseed2,0.00614150446487006
20,5.6219255094869997e-05,Wiki-vote,GPR,optseed2,0.00614150446487006
21,0.000140548137737175,Wiki-vote,GPR,optseed2,0.00614150446487006
22,0.000421644413211525,Wiki-vote,GPR,optseed2,0.00614150446487006
23,4.6849379245725e-05,Wiki-vote,GPR,optseed2,0.00614150446487006
24,9.369875849145e-05,Wiki-vote,GPR,optseed2,0.00614150446487006
25,0.0,Wiki-vote,GPR,optseed2,0.00614150446487006
0,0.000140548137737175,Wiki-vote,CMAES,optseed2,0.006194295988015194
1,0.0029866479269149682,Wiki-vote,CMAES,optseed2,0.006194295988015194
2,0.01579901616303584,Wiki-vote,CMAES,optseed2,0.006194295988015194
3,0.030130709768095572,Wiki-vote,CMAES,optseed2,0.006194295988015194
4,0.02085874912157414,Wiki-vote,CMAES,optseed2,0.006194295988015194
5,0.007922698524244553,Wiki-vote,CMAES,optseed2,0.006194295988015194
6,0.003145467322557976,Wiki-vote,CMAES,optseed2,0.006194295988015194
7,0.0018721011946591707,Wiki-vote,CMAES,optseed2,0.006194295988015194
8,0.00174279690794097,Wiki-vote,CMAES,optseed2,0.006194295988015194
9,0.0015938158819395643,Wiki-vote,CMAES,optseed2,0.006194295988015194
10,0.0014906620669094316,Wiki-vote,CMAES,optseed2,0.006194295988015194
11,0.001313293889178549,Wiki-vote,CMAES,optseed2,0.006194295988015194
12,0.0009233478922227066,Wiki-vote,CMAES,optseed2,0.006194295988015194
13,0.0006760850073908934,Wiki-vote,CMAES,optseed2,0.006194295988015194
14,0.0005724765610270298,Wiki-vote,CMAES,optseed2,0.006194295988015194
15,0.0002992315190533403,Wiki-vote,CMAES,optseed2,0.006194295988015194
16,0.00016865776528460997,Wiki-vote,CMAES,optseed2,0.006194295988015194
17,0.00017568517217146873,Wiki-vote,CMAES,optseed2,0.006194295988015194
18,7.666262058391364e-05,Wiki-vote,CMAES,optseed2,0.006194295988015194
19,8.03132215641e-05,Wiki-vote,CMAES,optseed2,0.006194295988015194
20,4.6849379245725e-05,Wiki-vote,CMAES,optseed2,0.006194295988015194
21,8.432888264230498e-05,Wiki-vote,CMAES,optseed2,0.006194295988015194
22,0.0,Wiki-vote,CMAES,optseed2,0.006194295988015194
23,0.0,Wiki-vote,CMAES,optseed2,0.006194295988015194
24,0.0,Wiki-vote,CMAES,optseed2,0.006194295988015194
0,0.000140548137737175,Wiki-vote,RANDOM,optseed3,0.006162619804240631
1,0.0029866479269149682,Wiki-vote,RANDOM,optseed3,0.006162619804240631
2,0.015797610681658466,Wiki-vote,RANDOM,optseed3,0.006162619804240631
3,0.030262825017568516,Wiki-vote,RANDOM,optseed3,0.006162619804240631
4,0.02088685874912157,Wiki-vote,RANDOM,optseed3,0.006162619804240631
5,0.007907238229093463,Wiki-vote,RANDOM,optseed3,0.006162619804240631
6,0.0030934645115952212,Wiki-vote,RANDOM,optseed3,0.006162619804240631
7,0.0018018271257905832,Wiki-vote,RANDOM,optseed3,0.006162619804240631
8,0.0017203092059030218,Wiki-vote,RANDOM,optseed3,0.006162619804240631
9,0.001881939564300773,Wiki-vote,RANDOM,optseed3,0.006162619804240631
10,0.0018156524732169748,Wiki-vote,RANDOM,optseed3,0.006162619804240631
11,0.0015399844339159278,Wiki-vote,RANDOM,optseed3,0.006162619804240631
12,0.001403724525650035,Wiki-vote,RANDOM,optseed3,0.006162619804240631
13,0.0012768440987648438,Wiki-vote,RANDOM,optseed3,0.006162619804240631
14,0.0014904639722825997,Wiki-vote,RANDOM,optseed3,0.006162619804240631
15,0.001391879944687507,Wiki-vote,RANDOM,optseed3,0.006162619804240631
16,0.0009027515000810855,Wiki-vote,RANDOM,optseed3,0.006162619804240631
17,0.0005688853194123749,Wiki-vote,RANDOM,optseed3,0.006162619804240631
18,0.00034356211446864995,Wiki-vote,RANDOM,optseed3,0.006162619804240631
19,0.00017361828779298086,Wiki-vote,RANDOM,optseed3,0.006162619804240631
20,0.0001621709281582788,Wiki-vote,RANDOM,optseed3,0.006162619804240631
21,8.4328882642305e-05,Wiki-vote,RANDOM,optseed3,0.006162619804240631
22,8.784258608573436e-05,Wiki-vote,RANDOM,optseed3,0.006162619804240631
23,4.015661078205e-05,Wiki-vote,RANDOM,optseed3,0.006162619804240631
24,2.8109627547434998e-05,Wiki-vote,RANDOM,optseed3,0.006162619804240631
25,0.00028109627547435,Wiki-vote,RANDOM,optseed3,0.006162619804240631
26,0.0,Wiki-vote,RANDOM,optseed3,0.006162619804240631
0,0.000140548137737175,Wiki-vote,GA,optseed3,0.006208386201058248
1,0.0029866479269149682,Wiki-vote,GA,optseed3,0.006208386201058248
2,0.01579901616303584,Wiki-vote,GA,optseed3,0.006208386201058248
3,0.030191145467322555,Wiki-vote,GA,optseed3,0.006208386201058248
4,0.020736472241742798,Wiki-vote,GA,optseed3,0.006208386201058248
5,0.007956430077301476,Wiki-vote,GA,optseed3,0.006208386201058248
6,0.0031215741391426564,Wiki-vote,GA,optseed3,0.006208386201058248
7,0.0017793394237526352,Wiki-vote,GA,optseed3,0.006208386201058248
8,0.0014111033028812367,Wiki-vote,GA,optseed3,0.006208386201058248
9,0.0013211524947294448,Wiki-vote,GA,optseed3,0.006208386201058248
10,0.00128956538748542,Wiki-vote,GA,optseed3,0.006208386201058248
11,0.0014304677129694699,Wiki-vote,GA,optseed3,0.006208386201058248
12,0.00128806141419892,Wiki-vote,GA,optseed3,0.006208386201058248
13,0.00113756148981026,Wiki-vote,GA,optseed3,0.006208386201058248
14,0.0010157797227368557,Wiki-vote,GA,optseed3,0.006208386201058248
15,0.0006029968490014281,Wiki-vote,GA,optseed3,0.006208386201058248
16,0.0005302497923720692,Wiki-vote,GA,optseed3,0.006208386201058248
17,0.000365425158116655,Wiki-vote,GA,optseed3,0.006208386201058248
18,0.000365425158116655,Wiki-vote,GA,optseed3,0.006208386201058248
19,0.00022839072382290935,Wiki-vote,GA,optseed3,0.006208386201058248
20,0.00022487702037947999,Wiki-vote,GA,optseed3,0.006208386201058248
21,2.8109627547434998e-05,Wiki-vote,GA,optseed3,0.006208386201058248
22,4.6849379245725e-05,Wiki-vote,GA,optseed3,0.006208386201058248
23,0.0,Wiki-vote,GA,optseed3,0.006208386201058248
24,0.0,Wiki-vote,GA,optseed3,0.006208386201058248
25,0.0,Wiki-vote,GA,optseed3,0.006208386201058248
26,0.0,Wiki-vote,GA,optseed3,0.006208386201058248
