network,method,rep,trial,best_so_far
BA1000,CMAES,optseed3,95,0.0204038914547354
BA1000,CMAES,optseed3,96,0.0204038914547354
BA1000,CMAES,optseed3,97,0.0204038914547354
BA1000,CMAES,optseed3,98,0.0204038914547354
BA1000,CMAES,optseed3,99,0.0204038914547354
BA1000,GA,optseed1,0,0.0228474615297917
BA1000,GA,optseed1,1,0.0208900929810195
BA1000,GA,optseed1,2,0.0208900929810195
BA1000,GA,optseed1,3,0.0208900929810195
BA1000,GA,optseed1,4,0.0208900929810195
BA1000,GA,optseed1,5,0.0208900929810195
BA1000,GA,optseed1,6,0.0208277892480868
BA1000,GA,optseed1,7,0.0208277892480868
BA1000,GA,optseed1,8,0.0204644378774819
BA1000,GA,optseed1,9,0.0204644378774819
BA1000,GA,optseed1,10,0.0204644378774819
BA1000,GA,optseed1,11,0.0204644378774819
BA1000,GA,optseed1,12,0.0204644378774819
BA1000,GA,optseed1,13,0.0204644378774819
BA1000,GA,optseed1,14,0.0204644378774819
BA1000,GA,optseed1,15,0.0204644378774819
BA1000,GA,optseed1,16,0.0204644378774819
BA1000,GA,optseed1,17,0.0204644378774819
BA1000,GA,optseed1,18,0.0204644378774819
BA1000,GA,optseed1,19,0.0204644378774819
BA1000,GA,optseed1,20,0.0204644378774819
BA1000,GA,optseed1,21,0.0204644378774819
BA1000,GA,optseed1,22,0.0204644378774819
BA1000,GA,optseed1,23,0.0204644378774819
BA1000,GA,optseed1,24,0.0204644378774819
BA1000,GA,optseed1,25,0.0204644378774819
BA1000,GA,optseed1,26,0.0204644378774819
BA1000,GA,optseed1,27,0.0204644378774819
BA1000,GA,optseed1,28,0.0204644378774819
BA1000,GA,optseed1,29,0.0204644378774819
BA1000,GA,optseed1,30,0.0204644378774819
BA1000,GA,optseed1,31,0.0204644378774819
BA1000,GA,optseed1,32,0.0204644378774819
BA1000,GA,optseed1,33,0.0204644378774819
BA1000,GA,optseed1,34,0.0204644378774819
BA1000,GA,optseed1,35,0.0204644378774819
BA1000,GA,optseed1,36,0.0204644378774819
BA1000,GA,optseed1,37,0.0204644378774819
BA1000,GA,optseed1,38,0.0204644378774819
BA1000,GA,optseed1,39,0.0204644378774819
BA1000,GA,optseed1,40,0.0204644378774819
BA1000,GA,optseed1,41,0.0204644378774819
BA1000,GA,optseed1,42,0.0204644378774819
BA1000,GA,optseed1,43,0.0204644378774819
BA1000,GA,optseed1,44,0.0204644378774819
BA1000,GA,optseed1,45,0.0204644378774819
BA1000,GA,optseed1,46,0.0204644378774819
BA1000,GA,optseed1,47,0.0204644378774819
BA1000,GA,optseed1,48,0.0204644378774819
BA1000,GA,optseed1,49,0.0204644378774819
BA1000,GA,optseed1,50,0.0204644378774819
BA1000,GA,optseed1,51,0.0204644378774819
BA1000,GA,optseed1,52,0.0204644378774819
BA1000,GA,optseed1,53,0.0204644378774819
BA1000,GA,optseed1,54,0.0204644378774819
BA1000,GA,optseed1,55,0.0204644378774819
BA1000,GA,optseed1,56,0.0204644378774819
BA1000,GA,optseed1,57,0.0204644378774819
BA1000,GA,optseed1,58,0.0204644378774819
BA1000,GA,optseed1,59,0.0204644378774819
BA1000,GA,optseed1,60,0.0204644378774819
BA1000,GA,optseed1,61,0.0204644378774819
BA1000,GA,optseed1,62,0.0204644378774819
BA1000,GA,optseed1,63,0.0204644378774819
BA1000,GA,optseed1,64,0.0204644378774819
BA1000,GA,optseed1,65,0.0204644378774819
BA1000,GA,optseed1,66,0.0204644378774819
BA1000,GA,optseed1,67,0.0204644378774819
BA1000,GA,optseed1,68,0.0204644378774819
BA1000,GA,optseed1,69,0.0204644378774819
BA1000,GA,optseed1,70,0.0204644378774819
BA1000,GA,optseed1,71,0.0204644378774819
BA1000,GA,optseed1,72,0.0204274741413986
BA1000,GA,optseed1,73,0.0204274741413986
BA1000,GA,optseed1,74,0.0204274741413986
BA1000,GA,optseed1,75,0.0204274741413986
BA1000,GA,optseed1,76,0.0204274741413986
BA1000,GA,optseed1,77,0.0204274741413986
BA1000,GA,optseed1,78,0.0204274741413986
BA1000,GA,optseed1,79,0.0203789103922822
BA1000,GA,optseed1,80,0.0203789103922822
BA1000,GA,optseed1,81,0.0203789103922822
BA1000,GA,optseed1,82,0.0203789103922822
BA1000,GA,optseed1,83,0.0203789103922822
BA1000,GA,optseed1,84,0.0203789103922822
BA1000,GA,optseed1,85,0.0203789103922822
BA1000,GA,optseed1,86,0.0203789103922822
BA1000,GA,optseed1,87,0.0203789103922822
BA1000,GA,optseed1,88,0.0203789103922822
BA1000,GA,optseed1,89,0.0203589207705778
BA1000,GA,optseed1,90,0.0203589207705778
BA1000,GA,optseed1,91,0.0203589207705778
BA1000,GA,optseed1,92,0.0203589207705778
BA1000,GA,optseed1,93,0.0203589207705778
BA1000,GA,optseed1,94,0.0203589207705778
BA1000,GA,optseed1,95,0.0203589207705778
BA1000,GA,optseed1,96,0.0203589207705778
BA1000,GA,optseed1,97,0.0203589207705778
BA1000,GA,optseed1,98,0.0203589207705778
BA1000,GA,optseed1,99,0.0203589207705778
BA1000,GA,optseed2,0,0.0214411507349215
BA1000,GA,optseed2,1,0.0214411507349215
BA1000,GA,optseed2,2,0.0214411507349215
BA1000,GA,optseed2,3,0.0211013070473502
BA1000,GA,optseed2,4,0.0211013070473502
BA1000,GA,optseed2,5,0.0211013070473502
BA1000,GA,optseed2,6,0.0211013070473502
BA1000,GA,optseed2,7,0.0209943014077014
BA1000,GA,optseed2,8,0.0209943014077014
BA1000,GA,optseed2,9,0.0209943014077014
BA1000,GA,optseed2,10,0.0209943014077014
BA1000,GA,optseed2,11,0.0209943014077014
BA1000,GA,optseed2,12,0.0209943014077014
BA1000,GA,optseed2,13,0.0209943014077014
BA1000,GA,optseed2,14,0.0209943014077014
BA1000,GA,optseed2,15,0.0209943014077014
BA1000,GA,optseed2,16,0.0209943014077014
BA1000,GA,optseed2,17,0.0209943014077014
BA1000,GA,optseed2,18,0.0209943014077014
BA1000,GA,optseed2,19,0.0209943014077014
BA1000,GA,optseed2,20,0.0209018666239964
BA1000,GA,optseed2,21,0.0209018666239964
BA1000,GA,optseed2,22,0.0209018666239964
BA1000,GA,optseed2,23,0.0209018666239964
BA1000,GA,optseed2,24,0.0209018666239964
BA1000,GA,optseed2,25,0.0209018666239964
BA1000,GA,optseed2,26,0.0209018666239964
BA1000,GA,optseed2,27,0.0209018666239964
BA1000,GA,optseed2,28,0.0209018666239964
BA1000,GA,optseed2,29,0.0206363417421931
BA1000,GA,optseed2,30,0.0206363417421931
BA1000,GA,optseed2,31,0.0206363417421931
BA1000,GA,optseed2,32,0.0206363417421931
BA1000,GA,optseed2,33,0.0206363417421931
BA1000,GA,optseed2,34,0.0206363417421931
BA1000,GA,optseed2,35,0.0206363417421931
BA1000,GA,optseed2,36,0.0206363417421931
BA1000,GA,optseed2,37,0.0206363417421931
BA1000,GA,optseed2,38,0.0206363417421931
BA1000,GA,optseed2,39,0.0206363417421931
BA1000,GA,optseed2,40,0.0206363417421931
BA1000,GA,optseed2,41,0.0206363417421931
BA1000,GA,optseed2,42,0.0206363417421931
BA1000,GA,optseed2,43,0.0206363417421931
BA1000,GA,optseed2,44,0.0206363417421931
BA1000,GA,optseed2,45,0.0206363417421931
BA1000,GA,optseed2,46,0.0206363417421931
