trial,state,auc,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,network,method,rep,run_dir,best_so_far,certainty_bin,effectiveness_bin,certainty_mid,effectiveness_mid
84,TrialState.COMPLETE,0.0062167474365688,auc,optseed3,6204,0.9276672979082008,0.9496582275092168,1.4054813773717496e-05,0.0062167474365688,0.030344342937456,9.83836964160225e-05,1452,100,14.52,10,26,13.52,9,25,False,20.685188809991818,20.613069924060255,0.0116848649922758,Wiki-vote,GA,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed3,0.0062167474365688,"(0.9, 0.95]","(0.9, 0.95]",0.925,0.925
57,TrialState.COMPLETE,0.0062191666716181,auc,optseed3,6202,0.9720534235651176,0.9529737557249788,2.2487702037948e-05,0.0062191666716181,0.030257203092059,0.0001016631529632,1469,100,14.69,10,26,13.69,9,25,False,21.324741199961863,21.260906809940938,0.0172532399883493,Wiki-vote,CMAES,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed3,0.0062131986428378,"(0.95, 1.0]","(0.95, 1.0]",0.975,0.975
74,TrialState.COMPLETE,0.006219690643445,auc,optseed3,6202,0.950719728074984,0.9524807443043256,1.9676739283204494e-05,0.006219690643445,0.0302600140548137,0.0001105645350199,1500,100,15.0,10,26,14.0,9,25,False,21.52206562703941,21.443774258950725,0.0190494710113853,Wiki-vote,CMAES,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed3,0.0062131986428378,"(0.95, 1.0]","(0.95, 1.0]",0.975,0.975
75,TrialState.COMPLETE,0.006222369977338,auc,optseed1,4202,0.8401283909844113,0.9509557745672266,1.5460295151089246e-05,0.006222369977338,0.0303260716795502,0.0001030686343405,1454,100,14.54,10,28,13.54,9,27,False,21.150433880044147,21.077626326936297,0.0191052709706127,Wiki-vote,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed1,0.006222369977338,"(0.8, 0.85]","(0.95, 1.0]",0.825,0.975
68,TrialState.COMPLETE,0.0062233281967134,auc,optseed3,6201,0.932808216515856,0.9473964379746254,1.5460295151089246e-05,0.0062233281967134,0.0303190442726633,8.901382056687749e-05,1466,100,14.66,10,28,13.66,9,27,False,22.1151109180646,21.352029416011646,0.012335852952674,Wiki-vote,GPR,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed3,0.0062233281967134,"(0.9, 0.95]","(0.9, 0.95]",0.925,0.925
63,TrialState.COMPLETE,0.0062241969782214,auc,optseed2,5201,0.5,0.9547191675295776,2.108222066057625e-05,0.0062241969782214,0.0303007730147575,8.479737643476225e-05,1482,100,14.82,10,26,13.82,9,25,False,22.2696232580347,21.642978856922127,0.0117722969735041,Wiki-vote,GPR,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed2,0.0062241969782214,"(0.499, 0.55]","(0.95, 1.0]",0.5245,0.975
96,TrialState.COMPLETE,0.006225794119172,auc,optseed3,6202,0.9516603689530848,0.9444326916355148,1.827125790583275e-05,0.006225794119172,0.0303148278285312,0.0001040056219255,1533,100,15.33,10,28,14.33,9,27,False,22.54717347503174,22.483234592946246,0.0117288259789347,Wiki-vote,CMAES,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed3,0.0062131986428378,"(0.95, 1.0]","(0.9, 0.95]",0.975,0.925
60,TrialState.COMPLETE,0.0062258708495123,auc,optseed2,5202,0.77338860220622,0.9508534346930624,1.546029515108925e-05,0.0062258708495123,0.0303288826423049,9.229327711407824e-05,1458,100,14.58,10,23,13.58,9,22,False,21.18424628197681,21.11343266197946,0.0189249489922076,Wiki-vote,CMAES,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed2,0.0061942959880151,"(0.75, 0.8]","(0.95, 1.0]",0.775,0.975
63,TrialState.COMPLETE,0.0062269683760261,auc,optseed2,5202,0.7827568328126763,0.970615948924834,2.5298664792691495e-05,0.0062269683760261,0.0302304989458889,0.0001091590536425,1511,100,15.11,10,26,14.11,9,25,False,21.08301175897941,21.011295708012767,0.018937968998216,Wiki-vote,CMAES,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed2,0.0061942959880151,"(0.75, 0.8]","(0.95, 1.0]",0.775,0.975
68,TrialState.COMPLETE,0.0062281764788941,auc,optseed1,4201,0.9036306685719476,0.949590582953156,1.4054813773717496e-05,0.0062281764788941,0.030344342937456,9.978917779339424e-05,1448,100,14.48,10,24,13.48,9,23,False,21.296368011040613,20.867286399006844,0.011758625973016,Wiki-vote,GPR,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed1,0.0062095643480356,"(0.9, 0.95]","(0.9, 0.95]",0.925,0.925
58,TrialState.COMPLETE,0.0062281813939793,auc,optseed1,4201,1.0,0.927232557274436,2.2487702037948e-05,0.0062281813939793,0.0303316936050597,9.1824783321621e-05,1519,100,15.19,10,27,14.19,9,26,False,22.17722333804704,21.77886459196452,0.0117825958877801,Wiki-vote,GPR,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed1,0.0062281813939793,"(0.95, 1.0]","(0.9, 0.95]",0.975,0.925
45,TrialState.COMPLETE,0.0062292435402633,auc,optseed1,4203,0.5341972538749956,0.975863318944716,3.092059030217849e-05,0.0062292435402633,0.030185523541813,0.0001227453736237,1491,100,14.91,10,29,13.91,9,28,False,23.398071283008903,23.3314291810384,0.0192583230091258,Wiki-vote,RANDOM,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed1,0.0062142707869423,"(0.499, 0.55]","(0.95, 1.0]",0.5245,0.975
72,TrialState.COMPLETE,0.006229474769237,auc,optseed2,5202,0.7900055536293653,0.9585641684143142,3.2326071679550243e-05,0.006229474769237,0.0303527758257203,0.0001119700163972,1509,100,15.09,9,25,14.09,8,24,False,22.96201397106051,22.890278219943863,0.0170234070392325,Wiki-vote,CMAES,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed2,0.0061942959880151,"(0.75, 0.8]","(0.95, 1.0]",0.775,0.975
64,TrialState.COMPLETE,0.0062300682070437,auc,optseed3,6201,0.863807893404503,0.9499088525478794,1.2649332396345747e-05,0.0062300682070437,0.0303457484188334,9.416725228390723e-05,1449,100,14.49,10,29,13.49,9,28,False,21.951309319934808,21.143415789003484,0.0117589159635826,Wiki-vote,GPR,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed3,0.0062300682070437,"(0.85, 0.9]","(0.9, 0.95]",0.875,0.925
