network,network_label,method,t,mean_selfish_ratio,std_selfish_ratio,n_iter_at_t
facebook,Facebook,ga,32,0.0002475860361475613,,1
facebook,Facebook,ga,33,0.0,,1
facebook,Facebook,ga,34,0.0,,1
wiki-vote,Wiki-vote,random,0,0.000140548137737175,0.00014679774219735587,100
wiki-vote,Wiki-vote,random,1,0.0029866479269149682,0.0010214248913490874,100
wiki-vote,Wiki-vote,random,2,0.01579901616303584,0.00412671670446903,100
wiki-vote,Wiki-vote,random,3,0.030182712579058326,0.004172985049472321,100
wiki-vote,Wiki-vote,random,4,0.02066619817287421,0.0030931506990738234,100
wiki-vote,Wiki-vote,random,5,0.008043569922698524,0.0017912104086230654,100
wiki-vote,Wiki-vote,random,6,0.0031834153197470134,0.0012608054945699592,100
wiki-vote,Wiki-vote,random,7,0.0016823612087139845,0.001880613362531815,100
wiki-vote,Wiki-vote,random,8,0.0013478566408995079,0.0028369712542109697,100
wiki-vote,Wiki-vote,random,9,0.001302881236823612,0.003195192298812085,100
wiki-vote,Wiki-vote,random,10,0.0014098735066760367,0.0036218130057915432,96
wiki-vote,Wiki-vote,random,11,0.0015349751671970121,0.0040032801572811106,89
wiki-vote,Wiki-vote,random,12,0.0013000702740688685,0.003354137456066897,76
wiki-vote,Wiki-vote,random,13,0.0009193230648710298,0.002186803431105344,61
wiki-vote,Wiki-vote,random,14,0.0007562828363952749,0.001981813195831624,42
wiki-vote,Wiki-vote,random,15,0.00044038416490981496,0.000885628903443615,30
wiki-vote,Wiki-vote,random,16,0.0002260991780989337,0.00042953315878544704,23
wiki-vote,Wiki-vote,random,17,0.00018739751698289997,0.00027432187574097914,15
wiki-vote,Wiki-vote,random,18,8.432888264230498e-05,0.0002217317323251203,10
wiki-vote,Wiki-vote,random,19,0.0003865073787772312,0.00053055758505065,4
wiki-vote,Wiki-vote,random,20,0.00023424689622862497,0.00029257427961576005,3
wiki-vote,Wiki-vote,random,21,4.6849379245725e-05,8.114550515665858e-05,3
wiki-vote,Wiki-vote,random,22,0.0,0.0,3
wiki-vote,Wiki-vote,random,23,0.0,0.0,2
wiki-vote,Wiki-vote,random,24,0.0,0.0,2
wiki-vote,Wiki-vote,random,25,0.0,,1
wiki-vote,Wiki-vote,gpr,0,0.000140548137737175,0.00014679774219735587,100
wiki-vote,Wiki-vote,gpr,1,0.0029866479269149682,0.0010214248913490876,100
wiki-vote,Wiki-vote,gpr,2,0.015800421644413212,0.00412899270924382,100
wiki-vote,Wiki-vote,gpr,3,0.03022487702037948,0.004052422067063295,100
wiki-vote,Wiki-vote,gpr,4,0.021031623330990862,0.002978765911936306,100
wiki-vote,Wiki-vote,gpr,5,0.007897399859451863,0.0020258024401037574,100
wiki-vote,Wiki-vote,gpr,6,0.002943078004216444,0.001134247651549284,100
wiki-vote,Wiki-vote,gpr,7,0.0017554462403373155,0.0015399510228713367,100
wiki-vote,Wiki-vote,gpr,8,0.0016907940969782152,0.0033499140771458985,100
wiki-vote,Wiki-vote,gpr,9,0.0019241040056219255,0.004242847687584907,100
wiki-vote,Wiki-vote,gpr,10,0.0021632821612536314,0.00459841439349632,97
wiki-vote,Wiki-vote,gpr,11,0.002168231383293722,0.004716169609417469,89
wiki-vote,Wiki-vote,gpr,12,0.0019518375184345708,0.003925407246316748,71
wiki-vote,Wiki-vote,gpr,13,0.0016786220978798447,0.0032104874173798106,53
wiki-vote,Wiki-vote,gpr,14,0.0011745808653749624,0.0022530129466477853,42
wiki-vote,Wiki-vote,gpr,15,0.0006982068777911274,0.0012494741939583043,31
wiki-vote,Wiki-vote,gpr,16,0.000348559381588194,0.0005667419579383262,25
wiki-vote,Wiki-vote,gpr,17,0.00021784961349262123,0.00028284767108219407,20
wiki-vote,Wiki-vote,gpr,18,0.00015616459748574998,0.0002499781565143746,18
wiki-vote,Wiki-vote,gpr,19,9.66268446943078e-05,0.00012272838507781434,16
wiki-vote,Wiki-vote,gpr,20,8.943972401456589e-05,0.00016950743194814539,11
wiki-vote,Wiki-vote,gpr,21,2.0078305391025e-05,5.312220281225962e-05,7
wiki-vote,Wiki-vote,gpr,22,7.02740688685875e-05,9.938254127709734e-05,2
wiki-vote,Wiki-vote,gpr,23,0.000140548137737175,,1
wiki-vote,Wiki-vote,gpr,24,0.0,,1
wiki-vote,Wiki-vote,cmaes,0,0.000140548137737175,0.00014679774219735587,100
wiki-vote,Wiki-vote,cmaes,1,0.0029866479269149682,0.0010214248913490876,100
wiki-vote,Wiki-vote,cmaes,2,0.015797610681658466,0.00412685716331196,100
wiki-vote,Wiki-vote,cmaes,3,0.0301939564300773,0.004058261424714252,100
wiki-vote,Wiki-vote,cmaes,4,0.02086015460295151,0.003083993773975301,100
wiki-vote,Wiki-vote,cmaes,5,0.007845397048489107,0.0018780572673740426,100
wiki-vote,Wiki-vote,cmaes,6,0.0032452565003513708,0.001280235513764551,100
wiki-vote,Wiki-vote,cmaes,7,0.0019002108222066058,0.002331838139904644,100
wiki-vote,Wiki-vote,cmaes,8,0.0017259311314125087,0.0033155256975357108,100
wiki-vote,Wiki-vote,cmaes,9,0.0018397751229796205,0.0037359042665665375,100
wiki-vote,Wiki-vote,cmaes,10,0.0019310728507847272,0.0041745272450213885,96
wiki-vote,Wiki-vote,cmaes,11,0.002098529091041268,0.004353606047850023,87
wiki-vote,Wiki-vote,cmaes,12,0.0016106056865016808,0.0033220023885031673,74
wiki-vote,Wiki-vote,cmaes,13,0.00134247703976543,0.0027103049345669917,58
wiki-vote,Wiki-vote,cmaes,14,0.0009503731218418498,0.0016825190194302401,42
wiki-vote,Wiki-vote,cmaes,15,0.0007888830956860788,0.001315797533218137,31
wiki-vote,Wiki-vote,cmaes,16,0.0004789047656229666,0.0006720802218296028,27
wiki-vote,Wiki-vote,cmaes,17,0.0003162333099086437,0.00045068878390449745,24
wiki-vote,Wiki-vote,cmaes,18,0.00015616459748574998,0.00020951679339421784,18
wiki-vote,Wiki-vote,cmaes,19,0.0001606264431282,0.00021952343344708528,14
wiki-vote,Wiki-vote,cmaes,20,0.00011243851018973999,0.00012915482550564743,10
wiki-vote,Wiki-vote,cmaes,21,2.0078305391025e-05,5.3122202812259626e-05,7
wiki-vote,Wiki-vote,cmaes,22,7.02740688685875e-05,0.00011759100864849973,6
wiki-vote,Wiki-vote,cmaes,23,0.0,0.0,4
wiki-vote,Wiki-vote,cmaes,24,0.0,0.0,2
wiki-vote,Wiki-vote,cmaes,25,0.0,,1
wiki-vote,Wiki-vote,cmaes,26,0.0,,1
wiki-vote,Wiki-vote,ga,0,0.000140548137737175,0.00014679774219735587,100
wiki-vote,Wiki-vote,ga,1,0.0029866479269149682,0.0010214248913490876,100
wiki-vote,Wiki-vote,ga,2,0.015797610681658466,0.004126857163311958,100
wiki-vote,Wiki-vote,ga,3,0.030182712579058326,0.004172219932270326,100
wiki-vote,Wiki-vote,ga,4,0.020618411806043572,0.0030995033791563547,100
wiki-vote,Wiki-vote,ga,5,0.008064652143359101,0.0017744139487625055,100
wiki-vote,Wiki-vote,ga,6,0.0031440618411806044,0.0012925759865422349,100
wiki-vote,Wiki-vote,ga,7,0.001713281799016163,0.0018788342846304852,100
wiki-vote,Wiki-vote,ga,8,0.0013394237526352776,0.002862622539901516,100
wiki-vote,Wiki-vote,ga,9,0.0012916373858046382,0.0031051115565221663,100
wiki-vote,Wiki-vote,ga,10,0.0014054813773717498,0.003643480039301092,98
wiki-vote,Wiki-vote,ga,11,0.0014898102600140548,0.003929071200738411,90
wiki-vote,Wiki-vote,ga,12,0.0013200129152342785,0.003349472399195173,74
wiki-vote,Wiki-vote,ga,13,0.000867828977456525,0.0020480520586913468,63
wiki-vote,Wiki-vote,ga,14,0.0007797075260181375,0.002039620503007828,42
wiki-vote,Wiki-vote,ga,15,0.0004458768507524172,0.0009031313226748483,29
wiki-vote,Wiki-vote,ga,16,0.00028109627547435,0.0005575906245602562,24
wiki-vote,Wiki-vote,ga,17,0.00011043067965063747,0.00023504352556806153,14
wiki-vote,Wiki-vote,ga,18,0.00010541110330288123,0.0001637336254422256,8
wiki-vote,Wiki-vote,ga,19,0.00016865776528460997,0.00023094415636198148,5
wiki-vote,Wiki-vote,ga,20,7.02740688685875e-05,9.938254127709734e-05,2
wiki-vote,Wiki-vote,ga,21,0.0002108222066057625,9.938254127709734e-05,2
wiki-vote,Wiki-vote,ga,22,7.02740688685875e-05,9.938254127709734e-05,2
wiki-vote,Wiki-vote,ga,23,0.0,0.0,2
