dataset,network,strategy,strategy_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio,degree_level,attachment_edges_m,target_avg_degree,triad_probability,requested_seed,actual_seed,config_path,graph_path,num_nodes,num_edges,avg_degree,avg_clustering,transitivity,largest_connected_component_ratio,max_degree
powerlaw_degree,pld_deg20_seed3,balance,"Balance (0.8, 0.8)",1,corrective,794.72,0.7947200000000001,9156.71,9.156709999999999,5399.61,5.39961,deg20,10,20,0.0,20263619,20263619,v2/test_2/network/network-pld_deg20_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed3/edgelist.txt,1000,9900,19.8,0.06490697455755866,0.05475753694922294,1.0,185
powerlaw_degree,pld_deg20_seed3,balance,"Balance (0.8, 0.8)",2,observational,309.65384615384613,0.3096538461538461,3091.269230769231,3.091269230769231,910.5384615384615,0.9105384615384615,deg20,10,20,0.0,20263619,20263619,v2/test_2/network/network-pld_deg20_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed3/edgelist.txt,1000,9900,19.8,0.06490697455755866,0.05475753694922294,1.0,185
powerlaw_degree,pld_deg20_seed3,balance,"Balance (0.8, 0.8)",3,behavior-guiding,169.69,0.16969,2281.88,2.28188,1852.39,1.8523900000000002,deg20,10,20,0.0,20263619,20263619,v2/test_2/network/network-pld_deg20_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed3/edgelist.txt,1000,9900,19.8,0.06490697455755866,0.05475753694922294,1.0,185
powerlaw_degree,pld_deg20_seed3,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,419.62,0.41962,4514.89,4.51489,2351.34,2.35134,deg20,10,20,0.0,20263619,20263619,v2/test_2/network/network-pld_deg20_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed3/edgelist.txt,1000,9900,19.8,0.06490697455755866,0.05475753694922294,1.0,185
powerlaw_degree,pld_deg20_seed3,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,599.02,0.59902,6921.17,6.92117,4375.29,4.37529,deg20,10,20,0.0,20263619,20263619,v2/test_2/network/network-pld_deg20_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed3/edgelist.txt,1000,9900,19.8,0.06490697455755866,0.05475753694922294,1.0,185
powerlaw_degree,pld_deg20_seed3,certainty_high,"Certainty high (0.9, 0.5)",2,observational,331.4347826086956,0.33143478260869563,3389.782608695652,3.389782608695652,985.3478260869565,0.9853478260869565,deg20,10,20,0.0,20263619,20263619,v2/test_2/network/network-pld_deg20_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed3/edgelist.txt,1000,9900,19.8,0.06490697455755866,0.05475753694922294,1.0,185
powerlaw_degree,pld_deg20_seed3,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,227.98,0.22798,2841.68,2.8416799999999998,2229.18,2.22918,deg20,10,20,0.0,20263619,20263619,v2/test_2/network/network-pld_deg20_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed3/edgelist.txt,1000,9900,19.8,0.06490697455755866,0.05475753694922294,1.0,185
powerlaw_degree,pld_deg20_seed3,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,422.76,0.42276,4539.53,4.53953,2353.19,2.35319,deg20,10,20,0.0,20263619,20263619,v2/test_2/network/network-pld_deg20_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed3/edgelist.txt,1000,9900,19.8,0.06490697455755866,0.05475753694922294,1.0,185
powerlaw_degree,pld_deg20_seed3,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,798.05,0.7980499999999999,9370.88,9.37088,5591.09,5.59109,deg20,10,20,0.0,20263619,20263619,v2/test_2/network/network-pld_deg20_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed3/edgelist.txt,1000,9900,19.8,0.06490697455755866,0.05475753694922294,1.0,185
powerlaw_degree,pld_deg20_seed3,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,308.77272727272725,0.30877272727272725,3062.090909090909,3.062090909090909,941.9090909090909,0.9419090909090909,deg20,10,20,0.0,20263619,20263619,v2/test_2/network/network-pld_deg20_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed3/edgelist.txt,1000,9900,19.8,0.06490697455755866,0.05475753694922294,1.0,185
