seed_state,contrast,metric,current,balance,diff,abs_diff
5,effective_high_minus_balance,peak_mean_selfish_ratio,0.06831393909383511,0.06841544936865561,-0.00010151027482049879,0.00010151027482049879
5,effective_high_minus_balance,mean_total_shared_ratio_misinformation,0.3495246348105967,0.34971280019806883,-0.00018816538747212785,0.00018816538747212785
5,effective_high_minus_balance,mean_total_shared_ratio_corrective,0.37319138400594204,0.3495642485763803,0.02362713542956174,0.02362713542956174
5,effective_high_minus_balance,mean_total_shared_ratio_observational,0.1524034890586017,0.152819104638862,-0.00041561558026029233,0.00041561558026029233
5,effective_high_minus_balance,mean_total_shared_ratio_behavior_guiding,0.2202748205001238,0.22596187175043328,-0.005687051250309466,0.005687051250309466
5,effective_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,2.1865461747957413,2.1898365932161425,-0.003290418420401231,0.003290418420401231
5,effective_high_minus_balance,mean_total_fst_viewed_ratio_corrective,4.046439712800198,3.954528348601139,0.09191136419905899,0.09191136419905899
5,effective_high_minus_balance,mean_total_fst_viewed_ratio_observational,0.4363846725198545,0.4443179004704135,-0.007933227950558952,0.007933227950558952
5,effective_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,2.032176281257737,2.0717727160188164,-0.039596434761079546,0.039596434761079546
5,certainty_high_minus_balance,peak_mean_selfish_ratio,0.06819757365684576,0.06841544936865561,-0.00021787571180985343,0.00021787571180985343
5,certainty_high_minus_balance,mean_total_shared_ratio_misinformation,0.34941322109433026,0.34971280019806883,-0.00029957910373856755,0.00029957910373856755
5,certainty_high_minus_balance,mean_total_shared_ratio_corrective,0.35247338450111415,0.3495642485763803,0.002909135924733852,0.002909135924733852
5,certainty_high_minus_balance,mean_total_shared_ratio_observational,0.15184707720415602,0.152819104638862,-0.0009720274347059799,0.0009720274347059799
5,certainty_high_minus_balance,mean_total_shared_ratio_behavior_guiding,0.23897004208962616,0.22596187175043328,0.013008170339192882,0.013008170339192882
5,certainty_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,2.1925253775687055,2.1898365932161425,0.002688784352562923,0.002688784352562923
5,certainty_high_minus_balance,mean_total_fst_viewed_ratio_corrective,3.897472146570933,3.954528348601139,-0.05705620203020567,0.05705620203020567
5,certainty_high_minus_balance,mean_total_fst_viewed_ratio_observational,0.44059642622362993,0.4443179004704135,-0.0037214742467835404,0.0037214742467835404
5,certainty_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,2.1289774696707107,2.0717727160188164,0.05720475365189426,0.05720475365189426
6,effective_high_minus_balance,peak_mean_selfish_ratio,0.06898489725179499,0.06924981431047289,-0.0002649170586778993,0.0002649170586778993
6,effective_high_minus_balance,mean_total_shared_ratio_misinformation,0.3574845258727408,0.35563753404307996,0.00184699182966086,0.00184699182966086
6,effective_high_minus_balance,mean_total_shared_ratio_corrective,0.3815127506808616,0.3558455063134439,0.025667244367417685,0.025667244367417685
6,effective_high_minus_balance,mean_total_shared_ratio_observational,0.14420339192869522,0.108240488569778,0.03596290335891722,0.03596290335891722
6,effective_high_minus_balance,mean_total_shared_ratio_behavior_guiding,0.221166130230255,0.22768259470165883,-0.006516464471403832,0.006516464471403832
6,effective_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,2.241280019806883,2.2321713295370142,0.009108690269868713,0.009108690269868713
6,effective_high_minus_balance,mean_total_fst_viewed_ratio_corrective,3.774293141866799,3.637286457043823,0.13700668482297607,0.13700668482297607
6,effective_high_minus_balance,mean_total_fst_viewed_ratio_observational,0.42505493315177023,0.31763637864157795,0.10741855451019228,0.10741855451019228
6,effective_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,2.0842609556820997,2.123956424857638,-0.039695469175538456,0.039695469175538456
6,certainty_high_minus_balance,peak_mean_selfish_ratio,0.06937855904926962,0.06924981431047289,0.0001287447387967322,0.0001287447387967322
6,certainty_high_minus_balance,mean_total_shared_ratio_misinformation,0.3561327061153751,0.35563753404307996,0.000495172072295158,0.000495172072295158
6,certainty_high_minus_balance,mean_total_shared_ratio_corrective,0.34191384005942066,0.3558455063134439,-0.013931666254023256,0.013931666254023256
6,certainty_high_minus_balance,mean_total_shared_ratio_observational,0.11381370348776845,0.108240488569778,0.005573214917990454,0.005573214917990454
6,certainty_high_minus_balance,mean_total_shared_ratio_behavior_guiding,0.24092349591483042,0.22768259470165883,0.01324090121317159,0.01324090121317159
6,certainty_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,2.232956177271602,2.2321713295370142,0.0007848477345877569,0.0007848477345877569
6,certainty_high_minus_balance,mean_total_fst_viewed_ratio_corrective,3.502218370883882,3.637286457043823,-0.13506808615994093,0.13506808615994093
6,certainty_high_minus_balance,mean_total_fst_viewed_ratio_observational,0.3271410202142018,0.31763637864157795,0.009504641572623873,0.009504641572623873
6,certainty_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,2.168541718247091,2.123956424857638,0.04458529338945283,0.04458529338945283
7,effective_high_minus_balance,peak_mean_selfish_ratio,0.06910126268878436,0.06927457291408765,-0.00017331022530328588,0.00017331022530328588
7,effective_high_minus_balance,mean_total_shared_ratio_misinformation,0.35395147313691505,0.35485021044813075,-0.0008987373112157027,0.0008987373112157027
7,effective_high_minus_balance,mean_total_shared_ratio_corrective,0.3688536766526368,0.35908640752661547,0.009767269126021327,0.009767269126021327
7,effective_high_minus_balance,mean_total_shared_ratio_observational,0.13622183708838823,0.1621323245893522,-0.025910487500963975,0.025910487500963975
7,effective_high_minus_balance,mean_total_shared_ratio_behavior_guiding,0.22337459767269127,0.22865560782371874,-0.005281010151027471,0.005281010151027471
