seed_state,network,variant,contrast,metric,left_strategy,right_strategy,left_value,right_value,diff,abs_diff
3,fbdeg_rewire_1p0,rewire_1p0,effective_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,effective_high,balance,9.131864322852191,9.134097548898243,-0.002233226046051584,0.002233226046051584
3,fbdeg_rewire_1p0,rewire_1p0,effective_high_minus_balance,mean_total_fst_viewed_ratio_corrective,effective_high,balance,32.70201287447388,29.246199554345132,3.4558133201287475,3.4558133201287475
3,fbdeg_rewire_1p0,rewire_1p0,effective_high_minus_balance,mean_total_fst_viewed_ratio_observational,effective_high,balance,1.02085302107271,0.9674259305108526,0.05342709056185746,0.05342709056185746
3,fbdeg_rewire_1p0,rewire_1p0,effective_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,effective_high,balance,1.2796385243872246,1.392124288190146,-0.11248576380292152,0.11248576380292152
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,peak_mean_selfish_ratio,certainty_high,balance,0.12231988115870265,0.12170339192869523,0.0006164892300074276,0.0006164892300074276
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_shared_ratio_misinformation,certainty_high,balance,0.8340851695964348,0.8351398861104234,-0.001054716513988696,0.001054716513988696
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_shared_ratio_corrective,certainty_high,balance,3.0570487744491213,2.7437633077494428,0.3132854666996785,0.3132854666996785
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_shared_ratio_observational,certainty_high,balance,0.29745875153154183,0.27655360237682597,0.020905149154715863,0.020905149154715863
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_shared_ratio_behavior_guiding,certainty_high,balance,0.06092102005446893,0.0407105719237435,0.02021044813072543,0.02021044813072543
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,certainty_high,balance,9.119180490220351,9.134097548898243,-0.014917058677891504,0.014917058677891504
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_corrective,certainty_high,balance,30.468341173557814,29.246199554345132,1.2221416192126817,1.2221416192126817
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_observational,certainty_high,balance,1.0041042146761383,0.9674259305108526,0.036678284165285735,0.036678284165285735
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,certainty_high,balance,1.7516835850458035,1.392124288190146,0.35955929685565735,0.35955929685565735
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,peak_mean_selfish_ratio,certainty_high,effective_high,0.12231988115870265,0.12112156474374845,0.0011983164149542008,0.0011983164149542008
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_shared_ratio_misinformation,certainty_high,effective_high,0.8340851695964348,0.8369324090121317,-0.0028472394156969782,0.0028472394156969782
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_shared_ratio_corrective,certainty_high,effective_high,3.0570487744491213,3.314315424610052,-0.25726665016093087,0.25726665016093087
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_shared_ratio_observational,certainty_high,effective_high,0.29745875153154183,0.2989339851936576,-0.0014752336621157713,0.0014752336621157713
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_shared_ratio_behavior_guiding,certainty_high,effective_high,0.06092102005446893,0.03507056202030206,0.02585045803416687,0.02585045803416687
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_misinformation,certainty_high,effective_high,9.119180490220351,9.131864322852191,-0.01268383263183992,0.01268383263183992
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_corrective,certainty_high,effective_high,30.468341173557814,32.70201287447388,-2.233671700916066,2.233671700916066
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_observational,certainty_high,effective_high,1.0041042146761383,1.02085302107271,-0.016748806396571725,0.016748806396571725
3,fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_behavior_guiding,certainty_high,effective_high,1.7516835850458035,1.2796385243872246,0.4720450606585789,0.4720450606585789
3,fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,peak_mean_selfish_ratio,certainty_high,effective_high,0.12231988115870265,0.12112156474374845,0.0011983164149542008,0.0011983164149542008
3,fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_shared_ratio_misinformation,effective_high,certainty_high,0.8369324090121317,0.8340851695964348,0.0028472394156969782,0.0028472394156969782
3,fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_shared_ratio_corrective,effective_high,balance,3.314315424610052,2.7437633077494428,0.5705521168606094,0.5705521168606094
3,fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_shared_ratio_observational,effective_high,balance,0.2989339851936576,0.27655360237682597,0.022380382816831634,0.022380382816831634
3,fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_shared_ratio_behavior_guiding,certainty_high,effective_high,0.06092102005446893,0.03507056202030206,0.02585045803416687,0.02585045803416687
3,fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_fst_viewed_ratio_misinformation,balance,certainty_high,9.134097548898243,9.119180490220351,0.014917058677891504,0.014917058677891504
3,fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_fst_viewed_ratio_corrective,effective_high,balance,32.70201287447388,29.246199554345132,3.4558133201287475,3.4558133201287475
3,fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_fst_viewed_ratio_observational,effective_high,balance,1.02085302107271,0.9674259305108526,0.05342709056185746,0.05342709056185746
3,fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_fst_viewed_ratio_behavior_guiding,certainty_high,effective_high,1.7516835850458035,1.2796385243872246,0.4720450606585789,0.4720450606585789
3,fbdeg_rewire_5p0,rewire_5p0,effective_high_minus_balance,peak_mean_selfish_ratio,effective_high,balance,0.12268630849220104,0.1228719980193117,-0.00018568952711066344,0.00018568952711066344
3,fbdeg_rewire_5p0,rewire_5p0,effective_high_minus_balance,mean_total_shared_ratio_misinformation,effective_high,balance,0.8432111908888339,0.8443451349343897,-0.0011339440455557792,0.0011339440455557792
3,fbdeg_rewire_5p0,rewire_5p0,effective_high_minus_balance,mean_total_shared_ratio_corrective,effective_high,balance,3.225669720227779,3.193258232235702,0.03241148799207716,0.03241148799207716
3,fbdeg_rewire_5p0,rewire_5p0,effective_high_minus_balance,mean_total_shared_ratio_observational,effective_high,balance,0.2867441000965227,0.27892286319496024,0.007821236901562445,0.007821236901562445
3,fbdeg_rewire_5p0,rewire_5p0,effective_high_minus_balance,mean_total_shared_ratio_behavior_guiding,effective_high,balance,0.033926714533300324,0.03901955929685565,-0.005092844763555329,0.005092844763555329
3,fbdeg_rewire_5p0,rewire_5p0,effective_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,effective_high,balance,9.266340678385738,9.280591730626393,-0.01425105224065426,0.01425105224065426
3,fbdeg_rewire_5p0,rewire_5p0,effective_high_minus_balance,mean_total_fst_viewed_ratio_corrective,effective_high,balance,32.715882644218865,32.006853181480565,0.7090294627383003,0.7090294627383003
3,fbdeg_rewire_5p0,rewire_5p0,effective_high_minus_balance,mean_total_fst_viewed_ratio_observational,effective_high,balance,0.9845779016904026,1.0157079585155842,-0.03113005682518155,0.03113005682518155
3,fbdeg_rewire_5p0,rewire_5p0,effective_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,effective_high,balance,1.2880861599405793,1.3902847239415697,-0.10219856400099037,0.10219856400099037
3,fbdeg_rewire_5p0,rewire_5p0,certainty_high_minus_balance,peak_mean_selfish_ratio,certainty_high,balance,0.1236048526863085,0.1228719980193117,0.0007328546669967961,0.0007328546669967961
