network,variant,contrast,metric,seed_count,mean_diff,std_diff,min_diff,max_diff,mean_abs_diff,positive_seed_count,negative_seed_count,zero_seed_count
fbdeg_original,original,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_observational,5,0.014469417184031663,0.08357355631470605,-0.0960250726769496,0.1348376764050508,0.05963917556635,3,2,0
fbdeg_original,original,certainty_high_minus_effective_high,mean_total_shared_ratio_behavior_guiding,5,0.017501856895271097,0.0013178579340460132,0.015177024015845475,0.01834117355781134,0.017501856895271097,5,0,0
fbdeg_original,original,certainty_high_minus_effective_high,mean_total_shared_ratio_corrective,5,-0.013591483040356522,0.022702182544307305,-0.051005199306759064,0.00175043327556329,0.014704629858875962,2,3,0
fbdeg_original,original,certainty_high_minus_effective_high,mean_total_shared_ratio_misinformation,5,0.00017380539737559263,0.0015335605789424348,-0.0018494676900223106,0.0018395642485763974,0.0013117108195097814,3,2,0
fbdeg_original,original,certainty_high_minus_effective_high,mean_total_shared_ratio_observational,5,0.005610303469480266,0.02919888058698504,-0.030740719164615585,0.048513217718157045,0.021221189477775126,3,2,0
fbdeg_original,original,certainty_high_minus_effective_high,peak_mean_selfish_ratio,5,0.0002931418667987018,0.0001660082373493619,0.00015102748205000904,0.0005025996533795374,0.0002931418667987018,5,0,0
fbdeg_original,original,effective_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,5,-0.026906164892300043,0.007001574988593214,-0.034607576132706264,-0.015578113394404625,0.026906164892300043,0,5,0
fbdeg_original,original,effective_high_minus_balance,mean_total_fst_viewed_ratio_corrective,5,0.0781535033424113,0.13044253604117803,-0.03328299083931663,0.30190888833869733,0.09146669967813796,4,1,0
fbdeg_original,original,effective_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,5,-0.003786580836840603,0.003404693129084617,-0.008759593958900247,-0.00014359990096535213,0.003786580836840603,0,5,0
fbdeg_original,original,effective_high_minus_balance,mean_total_fst_viewed_ratio_observational,5,-0.013096415543402361,0.057276109127145064,-0.08855938158284593,0.04903241157003818,0.048241937735171034,2,3,0
fbdeg_original,original,effective_high_minus_balance,mean_total_shared_ratio_behavior_guiding,5,-0.004708591235454323,0.0006907459613775273,-0.00556078237187424,-0.003926714533300346,0.004708591235454323,0,5,0
fbdeg_original,original,effective_high_minus_balance,mean_total_shared_ratio_corrective,5,0.011581084426838351,0.015625451382698906,-0.001317157712305006,0.03665016093092349,0.012107947511760354,4,1,0
fbdeg_original,original,effective_high_minus_balance,mean_total_shared_ratio_misinformation,5,-0.00028521911364201016,0.0011652420516444623,-0.001289923248328828,0.0013221094330279626,0.0010467937608319212,2,3,0
fbdeg_original,original,effective_high_minus_balance,mean_total_shared_ratio_observational,5,-0.0050746353068127055,0.02026923733126768,-0.03298031183664189,0.017555442621574158,0.016601887869183388,2,3,0
fbdeg_original,original,effective_high_minus_balance,peak_mean_selfish_ratio,5,-0.00015003713790541495,0.0001440750775891955,-0.0003094825451844391,3.46620450606544e-05,0.0001639019559296767,1,4,0
fbdeg_original,original,max_minus_min_strategy,mean_total_fst_viewed_ratio_behavior_guiding,5,0.08695518692745736,0.006949535268203039,0.07622183708838826,0.09413963852438734,0.08695518692745736,5,0,0
fbdeg_original,original,max_minus_min_strategy,mean_total_fst_viewed_ratio_corrective,5,0.12641941074523402,0.15981922517517858,0.03253280514978929,0.40972022777915296,0.12641941074523402,5,0,0
fbdeg_original,original,max_minus_min_strategy,mean_total_fst_viewed_ratio_misinformation,5,0.010246595692002725,0.0038029922764627726,0.0056994305521165245,0.015097796484278003,0.010246595692002725,5,0,0
fbdeg_original,original,max_minus_min_strategy,mean_total_fst_viewed_ratio_observational,5,0.08103055662459624,0.04345389575371952,0.040340804143725595,0.1348376764050508,0.08103055662459624,5,0,0
fbdeg_original,original,max_minus_min_strategy,mean_total_shared_ratio_behavior_guiding,5,0.017501856895271097,0.0013178579340460132,0.015177024015845475,0.01834117355781134,0.017501856895271097,5,0,0
fbdeg_original,original,max_minus_min_strategy,mean_total_shared_ratio_corrective,5,0.015795989106214416,0.020995982700953722,0.00175043327556329,0.051005199306759064,0.015795989106214416,5,0,0
fbdeg_original,original,max_minus_min_strategy,mean_total_shared_ratio_misinformation,5,0.0018276801188413128,0.0003340228349960496,0.001289923248328828,0.0022010398613517834,0.0018276801188413128,5,0,0
fbdeg_original,original,max_minus_min_strategy,mean_total_shared_ratio_observational,5,0.026962874447161823,0.015332272825854686,0.014100614249165866,0.048513217718157045,0.026962874447161823,5,0,0
fbdeg_original,original,max_minus_min_strategy,peak_mean_selfish_ratio,5,0.00031492943797968576,0.00014927610740414076,0.00018073780638770687,0.0005025996533795374,0.00031492943797968576,5,0,0
