dataset,network,strategy,strategy_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio,cluster_level,triad_probability,requested_seed,actual_seed,config_path,graph_path,num_nodes,num_edges,avg_degree,avg_clustering,transitivity,largest_connected_component_ratio,max_degree
powerlaw_cluster,plc_high_seed3,certainty_high,"Certainty high (0.9, 0.5)",2,observational,332.2857142857143,0.3322857142857143,3351.5238095238096,3.3515238095238096,965.2380952380952,0.9652380952380952,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_high_seed3,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,213.81,0.21381,2732.73,2.73273,1867.16,1.8671600000000002,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_high_seed3,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,397.54,0.39754,4366.5,4.3665,2098.18,2.0981799999999997,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_high_seed3,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,740.85,0.74085,8757.87,8.75787,4639.14,4.63914,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_high_seed3,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,311.0,0.311,3169.4,3.1694,924.56,0.9245599999999999,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_high_seed3,effective_high,"Effectiveness high (0.5, 0.9)",3,behavior-guiding,136.85,0.13685,1948.72,1.94872,1427.12,1.42712,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_low_seed1,balance,"Balance (0.8, 0.8)",0,misinformation,396.23,0.39623,4267.1,4.2671,2279.86,2.27986,low,0.0,20261518,20261518,v2/test_2/network/network-plc_low_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed1/edgelist.txt,1000,9900,19.8,0.059700986215276204,0.05301696255300798,1.0,138
powerlaw_cluster,plc_low_seed1,balance,"Balance (0.8, 0.8)",1,corrective,777.84,0.7778400000000001,8965.01,8.965010000000001,5403.73,5.4037299999999995,low,0.0,20261518,20261518,v2/test_2/network/network-plc_low_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed1/edgelist.txt,1000,9900,19.8,0.059700986215276204,0.05301696255300798,1.0,138
powerlaw_cluster,plc_low_seed1,balance,"Balance (0.8, 0.8)",2,observational,314.28,0.31428,3151.12,3.15112,935.08,0.93508,low,0.0,20261518,20261518,v2/test_2/network/network-plc_low_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed1/edgelist.txt,1000,9900,19.8,0.059700986215276204,0.05301696255300798,1.0,138
powerlaw_cluster,plc_low_seed1,balance,"Balance (0.8, 0.8)",3,behavior-guiding,169.76,0.16976,2293.46,2.29346,1867.12,1.86712,low,0.0,20261518,20261518,v2/test_2/network/network-plc_low_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed1/edgelist.txt,1000,9900,19.8,0.059700986215276204,0.05301696255300798,1.0,138
powerlaw_cluster,plc_low_seed1,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,400.33,0.40033,4313.1,4.3131,2293.79,2.29379,low,0.0,20261518,20261518,v2/test_2/network/network-plc_low_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed1/edgelist.txt,1000,9900,19.8,0.059700986215276204,0.05301696255300798,1.0,138
powerlaw_cluster,plc_low_seed1,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,703.19,0.7031900000000001,8043.7,8.0437,4958.89,4.95889,low,0.0,20261518,20261518,v2/test_2/network/network-plc_low_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed1/edgelist.txt,1000,9900,19.8,0.059700986215276204,0.05301696255300798,1.0,138
powerlaw_cluster,plc_low_seed1,certainty_high,"Certainty high (0.9, 0.5)",2,observational,336.61290322580646,0.33661290322580645,3369.4193548387098,3.3694193548387097,979.9677419354839,0.979967741935484,low,0.0,20261518,20261518,v2/test_2/network/network-plc_low_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed1/edgelist.txt,1000,9900,19.8,0.059700986215276204,0.05301696255300798,1.0,138
powerlaw_cluster,plc_low_seed1,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,233.87,0.23387000000000002,2914.71,2.91471,2280.54,2.28054,low,0.0,20261518,20261518,v2/test_2/network/network-plc_low_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed1/edgelist.txt,1000,9900,19.8,0.059700986215276204,0.05301696255300798,1.0,138
